Initial State,Search Algorithm,Heuristic,Found Solution,Time,Max Frontier Size
"[[0, 8, 7], [4, 1, 2], [3, 5, 6]]",Greedy,heuristic_euclidean,True,0.006424903869628906,200
"[[3, 0, 1], [4, 6, 2], [7, 5, 8]]",A*,heuristic_manhattan,True,0.002482891082763672,78
"[[3, 0, 1], [4, 6, 2], [7, 5, 8]]",A*,heuristic_misplaced_tiles,True,0.005811929702758789,220
"[[3, 0, 1], [4, 6, 2], [7, 5, 8]]",A*,heuristic_euclidean,True,0.0031499862670898438,81
"[[3, 0, 1], [4, 6, 2], [7, 5, 8]]",Greedy,heuristic_manhattan,True,0.002713918685913086,107
"[[3, 0, 1], [4, 6, 2], [7, 5, 8]]",Greedy,heuristic_misplaced_tiles,True,0.011313915252685547,478
"[[3, 0, 1], [4, 6, 2], [7, 5, 8]]",Greedy,heuristic_euclidean,True,0.012073993682861328,203
"[[3, 5, 1], [7, 6, 4], [0, 8, 2]]",A*,heuristic_manhattan,True,0.014117956161499023,412
"[[3, 5, 1], [7, 6, 4], [0, 8, 2]]",A*,heuristic_misplaced_tiles,True,0.12395906448364258,3638
"[[3, 5, 1], [7, 6, 4], [0, 8, 2]]",A*,heuristic_euclidean,True,0.029471874237060547,688
"[[3, 5, 1], [7, 6, 4], [0, 8, 2]]",Greedy,heuristic_manhattan,True,0.005903959274291992,235
"[[3, 5, 1], [7, 6, 4], [0, 8, 2]]",Greedy,heuristic_misplaced_tiles,True,0.008075952529907227,343
"[[3, 5, 1], [7, 6, 4], [0, 8, 2]]",Greedy,heuristic_euclidean,True,0.0074121952056884766,233
"[[5, 6, 7], [0, 1, 8], [2, 4, 3]]",A*,heuristic_manhattan,True,0.11260414123535156,2793
